Date,Open,High,Low,Close,Change,Traded Volume,Turnover,Last Price of the Day,Daily Traded Units,Daily Turnover
2009-03-09,25.16,25.82,24.48,25.59,,5749357.0,145200289.0,,,
2009-03-10,25.68,26.95,25.68,26.87,,7507770.0,198480965.0,,,
2009-03-11,26.5,26.95,26.26,26.64,,5855095.0,155815439.0,,,
2009-03-12,26.15,26.47,25.82,26.18,,6294955.0,164489409.0,,,
2009-03-13,26.01,26.24,25.65,25.73,,6814568.0,176228331.0,,,
2009-03-16,26.22,26.66,25.94,26.48,,5248247.0,138331071.0,,,
2009-03-17,26.39,26.49,25.97,26.33,,4760668.0,124859126.0,,,
2009-03-18,26.86,27.0,26.34,26.87,,4798820.0,128336388.0,,,
2009-03-19,27.5,27.99,27.38,27.63,,10124086.0,279853201.0,,,
2009-03-20,27.7,27.9,27.12,27.43,,7357799.0,201942703.0,,,
2009-03-23,27.6,27.75,26.74,27.22,,5798061.0,157375083.0,,,
2009-03-24,27.44,27.91,27.28,27.59,,4803756.0,132641190.0,,,
2009-03-25,27.45,27.98,27.33,27.49,,4381568.0,121092543.0,,,
2009-03-26,27.27,27.66,26.96,27.65,,3177932.0,86857562.0,,,
2009-03-27,27.15,27.38,26.51,26.75,,6327843.0,169352021.0,,,
2009-03-30,26.32,26.45,25.9,25.99,,4593184.0,119903687.0,,,
2009-03-31,26.34,26.75,26.14,26.68,,4277732.0,113597657.0,,,
2009-04-01,26.39,27.12,25.84,27.0,,4796035.0,126872753.0,,,
2009-04-02,27.2,27.95,26.98,27.71,,6782007.0,186852220.0,,,
2009-04-03,27.6,27.71,27.03,27.6,,4974342.0,136086452.0,,,
2009-04-06,27.65,27.97,27.25,27.65,,3882283.0,107116775.0,,,
2009-04-07,27.68,27.94,27.23,27.77,,3838452.0,106298074.0,,,
2009-04-08,27.84,28.58,27.39,28.42,,5522579.0,155821593.0,,,
2009-04-09,28.9,29.29,28.64,29.01,,5981849.0,173497883.0,,,
2009-04-10,,,,29.005,,0.0,,,,0.0
2009-04-13,,,,29.005,,0.0,,,,0.0
2009-04-14,29.1,29.38,28.54,29.25,,4762417.0,138600725.0,,,
2009-04-15,29.1,29.39,29.04,29.39,,3539119.0,103550029.0,,,
2009-04-16,29.31,29.39,28.77,29.33,,4688489.0,136490765.0,,,
2009-04-17,29.4,30.0,29.2,29.44,,7044686.0,208738637.0,,,
2009-04-20,29.5,29.63,29.02,29.21,,6016610.0,175534776.0,,,
2009-04-21,29.2,29.43,28.76,29.23,,5217367.0,151723002.0,,,
2009-04-22,29.2,29.9,29.06,29.86,,5052883.0,149911511.0,,,
2009-04-23,29.71,30.94,29.36,30.46,,9473482.0,289549813.0,,,
2009-04-24,30.4,31.12,30.29,31.12,,6387733.0,197184949.0,,,
2009-04-27,30.6,31.26,30.32,30.95,,5788502.0,177999791.0,,,
2009-04-28,30.25,30.38,29.72,30.14,,10622490.0,319512607.0,,,
2009-04-29,29.05,29.75,28.8,29.5,,13326329.0,391484607.0,,,
2009-04-30,29.51,29.54,28.93,29.03,,10171499.0,296189199.0,,,
2009-05-01,,,,29.025,,0.0,,,,0.0
2009-05-04,28.75,29.36,28.46,29.34,,4477712.0,129655926.0,,,
2009-05-05,28.92,29.03,28.2,28.23,,7999232.0,227775037.0,,,
2009-05-06,28.7,28.95,28.32,28.45,,5785560.0,165497635.0,,,
